,2022,2021,2020,2019,2018,2017
GUY,14718388489.2086,8041362110.31175,5471256594.72422,5173760191.84652,4787636997.85343,4748174334.14044
GIB,,,,,,
BLZ,2830507575.6841,2424575179.3783,2047727810.06777,2386792476.10637,2292787335.62452,2266664817.08822
FRO,3555929833.05051,3655063937.93145,3262045883.37293,3266432734.22819,3188600927.46688,2980057377.87967
ASM,871000000.0,750000000.0,721000000.0,647000000.0,639000000.0,612000000.0
TLS,3204753000.0,3621958000.0,2162619200.0,2027034000.0,1566157200.0,1598208400.0
BRN,16681536466.7183,14006496617.4458,12005799653.9835,13469235364.7032,13566937673.7966,12128183904.4501
ATG,1867733333.33333,1601366666.66667,1410796296.2963,1725351851.85185,1661529629.62963,1531151851.85185
GRD,1224577777.77778,1122800000.0,1043411111.11111,1213485185.18519,1166514814.81481,1125685185.18519
GUM,6910000000.0,6234000000.0,5916000000.0,6355000000.0,6051000000.0,6013000000.0
ABW,3544707788.05664,3103184101.51354,2558906303.88098,3395798882.68156,3276184357.5419,3092429050.27933
BMU,7827980000.0,7286607000.0,6887147000.0,7423465000.0,7225977000.0,7142316000.0
BTN,2898227713.22315,2768802803.18141,2457604042.40959,2735683408.57651,2583335723.32125,2591358115.15844
VGB,,,,,,
PYF,5814661208.90544,6150640646.38319,5792545870.80614,6022276196.13871,6135116253.33452,5833352692.7995
CYM,6600844001.53721,6060026509.58539,5655357984.24218,5941896599.57333,5530178498.90783,5166281293.18715
NCL,9623318718.31459,10071349663.8484,9454629467.91408,9475655324.59495,9896402283.68587,9174048681.98577
VCT,966492592.592592,872225925.925926,869111111.111111,910766666.666667,884329629.62963,844040740.740741
WSM,832945205.637185,843923638.733018,868898358.266437,912950466.064906,878448433.404342,884844384.463214
TON,500274898.085221,469228219.665791,484796854.918756,512053692.078675,488906838.594866,460374354.847247
SSD,,,,,,
SDN,51666875363.0963,34229513774.9936,27034593750.0,32338079165.2893,32333780383.2924,41283617976.1905
TCA,1228794382.95121,1045782453.5755,774653669.315186,1177285211.72521,1128749004.5304,1028941663.2
VUT,1022219297.50335,950394006.532514,909421043.508407,936526267.622513,914736985.430944,880061833.690341
SOM,10419541202.0391,9838711529.45848,9204140383.17612,9420431258.24747,8278212314.40466,8252394373.29698
ERI,,,,,,
FJI,4979979531.2725,4305031649.74189,4432466219.87685,5444407198.13478,5581425327.44397,5353469174.47838
SLB,1566360686.10632,1522794913.0914,1536145814.17007,1619155017.3924,1615478393.28614,1469789119.08756
KIR,270520731.599041,289207526.306617,222973879.711097,216891541.021351,233859230.192198,223029864.54193
PNG,31603619036.6338,26113333240.2333,23848445103.9227,24751066910.5409,24109780708.0268,22742699138.356
GRL,,3235809504.29871,3082884653.2456,2997309971.87623,3055782146.15957,2851613679.03433
KNA,981429629.62963,858622222.222222,883922222.222222,1107855555.55556,1076548148.14815,1056977777.77778
NRU,153824609.470517,175390280.69162,124685688.161094,125160115.547819,130995566.30391,109355638.866955
SUR,3620987993.32637,3081401725.88833,2911807496.20227,4016040575.08796,3996198866.57453,3591679430.99988
BHS,13136400000.0,11368900000.0,9958200000.0,13016200000.0,12615800000.0,12236700000.0
VIR,,4444000000.0,4189000000.0,4121000000.0,3923000000.0,3794000000.0
MAC,24464719190.0616,30969334705.0515,25343525935.8358,55082293844.1008,55190661339.7796,50383871120.8733
MDV,6170638746.31376,5254366312.27648,3712604583.36665,5726094799.37709,5404344162.69888,4816426256.52914
