column,description,unit,source,description_right,unit_right,source_right
country,Country - Geographic location.,,Our World in Data - Regions (2023),,,
year,Year - Year of observation.,,Our World in Data - Regions (2023),,,
iso_code,ISO code - ISO 3166-1 alpha-3 three-letter country codes.,,International Organization for Standardization - Regions (2023),,,
population,"Population - Population by country, available from 10,000 BCE to 2100, based on data and estimates from different sources.",persons,Population based on various sources (2023) [https://ourworldindata.org/population-sources],,,
gdp,Gross domestic product (GDP) - This data is adjusted for inflation and differences in the cost of living between countries.,international-$ in 2011 prices,Bolt and van Zanden - Maddison Project Database 2023 [https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2023],,,
biofuel_electricity,Electricity generation from bioenergy - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/],,,
biofuel_share_elec,Share of electricity generated by bioenergy - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/],,,
carbon_intensity_elec,"Carbon intensity of electricity generation - Greenhouse gases emitted per unit of generated electricity, measured in grams of CO₂ equivalents per kilowatt-hour.",grams of CO₂ equivalents per kilowatt-hour,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/],,,
coal_electricity,Electricity generation from coal - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/],,,
coal_share_elec,Share of electricity generated by coal - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/],,,
