Country,ISO Code,Year,Population,GDP ISD,Biofuel Electricity kWh,Biofuel Share Elec %,Carbon Intensity Elec gCO₂e/kWh,Coal Electricity kWh,Coal Share Elec %,Electricity Demand kWh,Electricity Generation kWh,Electricity Share Energy %,Fossil Elec Per Capita kWh,Fossil Electricity kWh,Fossil Share Elec %,Gas Electricity kWh,Gas Share Elec %,Hydro Electricity kWh,Hydro Share Elec %,Low Carbon Elec Per Capita kWh,Low Carbon Electricity kWh,Low Carbon Share Elec %,Nuclear Electricity kWh,Nuclear Share Elec %,Oil Electricity kWh,Oil Share Elec %,Other Renewable Electricity kWh,Other Renewable Exc Biofuel Electricity kWh,Other Renewables Elec Per Capita kWh,Other Renewables Elec Per Capita Exc Biofuel kWh,Other Renewables Share Elec %,Other Renewables Share Elec Exc Biofuel %,Per Capita Electricity kWh,Renewables Elec Per Capita kWh,Renewables Electricity kWh,Renewables Share Elec %,Solar Electricity kWh,Solar Share Elec %,Wind Electricity kWh,Wind Share Elec %,Latest Data Year
Afghanistan,AFG,2023,41454709,53303472128,0,0.0,124,30000000,0.03,7190000000,970000000,,3136000000,130000000,0.13,0,0.0,750000000,0.77,20263000000,840000000,0.87,0,0.0,100000000,0.1,0,0,0,0,0.0,0.0,23399000000,20263000000,840000000,0.87,90000000,0.09,0,0.0,2023
Albania,ALB,2023,2811615,36171005952,0,0.0,24,0,0.0,8090000000,9010000000,,0,0,0.0,0,0.0,8710000000,0.97,3204564000000,9010000000,1.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,3204564000000,3204564000000,9010000000,1.0,300000000,0.03,0,0.0,2023
Algeria,DZA,2023,46164169,595820019712,0,0.0,634,0,0.0,94020000000,96300000000,0.12,2066321000000,95390000000,0.99,95000000000,0.99,20000000,0.0,19712000000,910000000,0.01,0,0.0,390000000,0.0,0,0,0,0,0.0,0.0,2086033000000,19712000000,910000000,0.01,870000000,0.01,20000000,0.0,2023
American Samoa,ASM,2023,47499,,0,0.0,647,0,0.0,170000000,170000000,,3579023000000,170000000,1.0,0,0.0,0,0.0,0,0,0.0,0,0.0,170000000,1.0,0,0,0,0,0.0,0.0,3579023000000,0,0,0.0,0,0.0,0,0.0,2023
Angola,AGO,2023,36749852,158346248192,50000000,0.0,167,0,0.0,17940000000,17940000000,,115103000000,4230000000,0.24,1670000000,0.09,13270000000,0.74,373063000000,13710000000,0.76,0,0.0,2560000000,0.14,50000000,0,1361000000,0,0.0,0.0,488165000000,373063000000,13710000000,0.76,390000000,0.02,0,0.0,2023
Antigua and Barbuda,ATG,2023,93293,,0,0.0,611,0,0.0,360000000,360000000,,3644432000000,340000000,0.94,0,0.0,0,0.0,214378000000,20000000,0.06,0,0.0,340000000,0.94,0,0,0,0,0.0,0.0,3858811000000,214378000000,20000000,0.06,20000000,0.06,0,0.0,2023
Argentina,ARG,2024,45696111,854914301952,2360000000,0.02,359,1210000000,0.01,155970000000,147180000000,0.17,1968001000000,89930000000,0.61,79590000000,0.54,24320000000,0.17,1252842000000,57250000000,0.39,10450000000,0.07,9130000000,0.06,2634000000,,57650000000,,0.02,,3220843000000,1024157000000,46800000000,0.32,3950000000,0.03,16170000000,0.11,2024
Armenia,ARM,2024,2973792,39721734144,0,0.0,244,0,0.0,7870000000,8840000000,,1183674000000,3520000000,0.4,3520000000,0.4,1790000000,0.2,1788962000000,5320000000,0.6,2650000000,0.3,0,0.0,0,0,0,0,0.0,0.0,2972636000000,897844000000,2670000000,0.3,880000000,0.1,0,0.0,2024
Aruba,ABW,2022,107746,,0,0.0,550,0,0.0,1000000000,1000000000,,7703302000000,830000000,0.83,0,0.0,0,0.0,1577785000000,170000000,0.17,0,0.0,830000000,0.83,0,0,0,0,0.0,0.0,9281087000000,1577785000000,170000000,0.17,30000000,0.03,140000000,0.14,2022
Australia,AUS,2024,26713152,1344251494400,3250000000,0.01,552,127370000000,0.46,279900000000,279900000000,0.18,6759592000000,180570000000,0.65,47570000000,0.17,13530000000,0.05,3718393000000,99330000000,0.35,0,0.0,5630000000,0.02,2986000000,,111782000000,,0.01,,10477984000000,3718393000000,99330000000,0.35,49840000000,0.18,32710000000,0.12,2024
Austria,AUT,2024,9120765,398815395840,5090000000,0.06,103,0,0.0,72060000000,78540000000,0.26,1143544000000,10430000000,0.13,7110000000,0.09,44760000000,0.57,7467575000000,68110000000,0.87,0,0.0,3320000000,0.04,5090000000,0,558067000000,0,0.06,0.0,8611120000000,7467575000000,68110000000,0.87,8820000000,0.11,9440000000,0.12,2024
Azerbaijan,AZE,2024,10336519,175370551296,110000000,0.0,633,0,0.0,28120000000,29270000000,0.14,2493102000000,25770000000,0.88,25660000000,0.88,2900000000,0.1,338605000000,3500000000,0.12,0,0.0,110000000,0.0,110000000,0,10642000000,0,0.0,0.0,2831708000000,338605000000,3500000000,0.12,410000000,0.01,80000000,0.0,2024
Bahamas,BHS,2022,397492,,0,0.0,654,0,0.0,2050000000,2050000000,,5107021000000,2030000000,0.99,0,0.0,0,0.0,50315000000,20000000,0.01,0,0.0,2030000000,0.99,0,0,0,0,0.0,0.0,5157336000000,50315000000,20000000,0.01,20000000,0.01,0,0.0,2022
Bahrain,BHR,2023,1569625,58769760256,0,0.0,902,0,0.0,36180000000,36170000000,,22986383000000,36080000000,1.0,36080000000,1.0,0,0.0,57339000000,90000000,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,23043719000000,57339000000,90000000,0.0,90000000,0.0,0,0.0,2023
