country,iso_code,year,population,gdp,biofuel_electricity,carbon_intensity_elec,coal_electricity,electricity_demand,electricity_generation,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,per_capita_electricity,renewables_electricity,solar_electricity,wind_electricity
Afghanistan,AFG,2017,35643420.0,65169281024.0,0.0,126.984,110000000.0,5870000000.0,1260000000.0,170000000.0,0.0,1050000000.0,1090000000.0,0.0,60000000.0,0.0,0.0,35.35,1090000000.0,40000000.0,0.0
Afghanistan,AFG,2018,36686788.0,65996738560.0,0.0,153.846,120000000.0,6160000000.0,1170000000.0,200000000.0,0.0,930000000.0,970000000.0,0.0,80000000.0,0.0,0.0,31.892,970000000.0,40000000.0,0.0
Afghanistan,AFG,2019,37769496.0,73085706240.0,0.0,149.533,80000000.0,5980000000.0,1070000000.0000001,180000000.0,0.0,840000000.0,890000000.0,0.0,100000000.0,0.0,0.0,28.33,890000000.0,50000000.0,0.0
Afghanistan,AFG,2020,38972236.0,71417708544.0,0.0,125.0,20000000.0,5950000000.0,800000000.0,120000000.0,0.0,620000000.0,680000000.0,0.0,100000000.0,0.0,0.0,20.527,680000000.0,60000000.0,0.0
Afghanistan,AFG,2021,40099460.0,56638849024.0,0.0,132.53,30000000.0,6530000000.0,830000000.0,130000000.0,0.0,620000000.0,700000000.0,0.0,100000000.0,0.0,0.0,20.699,700000000.0,80000000.0,0.0
Afghanistan,AFG,2022,41128772.0,53303472128.0,0.0,132.53,30000000.0,6710000000.0,830000000.0,130000000.0,0.0,620000000.0,700000000.0,0.0,100000000.0,0.0,0.0,20.181,700000000.0,80000000.0,0.0
Africa,,2017,1263333997.0,,3540000000.0,588.312,257120000000.0,833520000000.0,825820000000.0,656410000000.0,324700000000.0,126400000000.0,169410000000.0,14190000000.0,74590000000.0,8300000000.000001,4760000000.0,653.683,155220000000.0,7080000000.0,13440000000.0
Africa,,2018,1295265310.0,,3400000000.0,583.571,264700000000.0,857020000000.0,850300000000.0,670740000000.0,342670000000.0,135680000000.0,179560000000.0,11580000000.0,63370000000.0,8529999999.999999,5130000000.0,656.468,167980000000.0,8570000000.0,15200000000.0
Africa,,2019,1327701380.0,,3450000000.0,574.831,263829999999.99997,869270000000.0,868760000000.0,676020000000.0,358490000000.0,140220000000.0,192740000000.0,13250000000.0,53700000000.0,8690000000.0,5240000000.0,654.334,179490000000.0,11300000000.0,19280000000.0
Africa,,2020,1360677453.0,,2840000000.0,564.446,251670000000.0,857220000000.0,855370000000.0,654000000000.0,355590000000.0,148890000000.0,201370000000.0,9900000000.0,46740000000.0,7900000000.0,5060000000.0,628.635,191470000000.0,15330000000.0,19350000000.0
Africa,,2021,1393676724.0,,2860000000.0,559.334,248310000000.0,891830000000.0,889880000000.0,678050000000.0,375140000000.0,150800000000.0,211830000000.0,12350000000.0,54600000000.0,7900000000.0,5040000000.0,638.513,199480000000.0,17980000000.0,22800000000.0
Africa,,2022,1426736614.0,,2800000000.0,554.153,240420000000.0,886280000000.0,881020000000.0,665610000000.0,360060000000.0,151620000000.0,215410000000.0,10100000000.0,65129999999.99999,8320000000.0,5520000000.0,617.507,205310000000.0,21080000000.0,24290000000.0
Albania,ALB,2017,2879361.0,31348975616.0,0.0,24.283,0.0,7440000000.0,4530000000.0,0.0,0.0,4530000000.0,4530000000.0,0.0,0.0,0.0,0.0,1573.266,4530000000.0,0.0,0.0
Albania,ALB,2018,2877019.0,32609001472.0,0.0,23.392,0.0,7640000000.0,8550000000.000001,0.0,0.0,8550000000.000001,8550000000.000001,0.0,0.0,0.0,0.0,2971.826,8550000000.000001,0.0,0.0
Albania,ALB,2019,2873883.0,33289746432.0,0.0,23.077,0.0,7610000000.0,5200000000.0,0.0,0.0,5180000000.0,5200000000.0,0.0,0.0,0.0,0.0,1809.399,5200000000.0,20000000.0,0.0
Albania,ALB,2020,2866850.0,32130725888.0,0.0,24.482,0.0,7590000000.0,5310000000.0,0.0,0.0,5280000000.0,5310000000.0,0.0,0.0,0.0,0.0,1852.207,5310000000.0,30000000.0,0.0
Albania,ALB,2021,2854710.0,34866974720.0,0.0,23.437,0.0,8410000000.0,8960000000.0,0.0,0.0,8920000000.0,8960000000.0,0.0,0.0,0.0,0.0,3138.673,8960000000.0,40000000.0,0.0
Albania,ALB,2022,2842318.0,36171005952.0,0.0,24.286,0.0,7920000000.0,7000000000.0,0.0,0.0,6960000000.0,7000000000.0,0.0,0.0,0.0,0.0,2462.779,7000000000.0,40000000.0,0.0
Algeria,DZA,2017,41136548.0,577138786304.0,0.0,634.153,0.0,75730000000.0,76070000000.0,75430000000.0,75060000000.0,60000000.0,640000000.0,0.0,370000000.0,0.0,0.0,1849.207,640000000.0,570000000.0,10000000.0
Algeria,DZA,2018,41927008.0,584064434176.0,0.0,633.033,0.0,76620000000.0,76710000000.0,75930000000.0,75500000000.0,120000000.0,780000000.0,0.0,430000000.0,0.0,0.0,1829.608,780000000.0,650000000.0,10000000.0
Algeria,DZA,2019,42705372.0,589905133568.0,0.0,632.998,0.0,81440000000.0,81580000000.0,80740000000.0,80360000000.0,150000000.0,840000000.0,0.0,380000000.0,0.0,0.0,1910.298,840000000.0,680000000.0,10000000.0
Algeria,DZA,2020,43451668.0,559819915264.0,0.0,633.678,0.0,79160000000.0,79220000000.0,78490000000.0,78130000000.0,50000000.0,730000000.0,0.0,360000000.0,0.0,0.0,1823.175,730000000.0,670000000.0,10000000.0
Algeria,DZA,2021,44177964.0,578853797888.0,0.0,634.523,0.0,84300000000.0,85450000000.0,84790000000.0,84420000000.0,10000000.0,660000000.0,0.0,370000000.0,0.0,0.0,1934.222,660000000.0,640000000.0,10000000.0
Algeria,DZA,2022,44903228.0,595820019712.0,0.0,634.611,0.0,87040000000.0,88180000000.0,87500000000.0,87120000000.0,10000000.0,680000000.0,0.0,380000000.0,0.0,0.0,1963.779,680000000.0,660000000.0,10000000.0
American Samoa,ASM,2017,49486.0,,0.0,687.5,0.0,160000000.0,160000000.0,160000000.0,0.0,0.0,0.0,0.0,160000000.0,0.0,0.0,3233.238,0.0,0.0,0.0
American Samoa,ASM,2018,48445.0,,0.0,687.5,0.0,160000000.0,160000000.0,160000000.0,0.0,0.0,0.0,0.0,160000000.0,0.0,0.0,3302.714,0.0,0.0,0.0
American Samoa,ASM,2019,47341.0,,0.0,687.5,0.0,160000000.0,160000000.0,160000000.0,0.0,0.0,0.0,0.0,160000000.0,0.0,0.0,3379.734,0.0,0.0,0.0
American Samoa,ASM,2020,46216.0,,0.0,647.059,0.0,170000000.0,170000000.0,170000000.0,0.0,0.0,0.0,0.0,170000000.0,0.0,0.0,3678.38,0.0,0.0,0.0
American Samoa,ASM,2021,45056.0,,0.0,647.059,0.0,170000000.0,170000000.0,170000000.0,0.0,0.0,0.0,0.0,170000000.0,0.0,0.0,3773.082,0.0,0.0,0.0
American Samoa,ASM,2022,44295.0,,0.0,611.111,0.0,180000000.0,180000000.0,170000000.0,0.0,0.0,10000000.0,0.0,170000000.0,0.0,0.0,4063.664,10000000.0,10000000.0,0.0
Angola,AGO,2017,30208634.0,164717707264.0,50000000.0,205.365,0.0,10810000000.0,10810000000.0,3090000000.0,40000000.0,7650000000.0,7720000000.0,0.0,3050000000.0,50000000.0,0.0,357.845,7720000000.0,20000000.0,0.0
Angola,AGO,2018,31273538.0,162550038528.0,50000000.0,154.49,0.0,13140000000.0,13140000000.0,2700000000.0,80000000.0,10370000000.0,10440000000.0,0.0,2620000000.0,50000000.0,0.0,420.164,10440000000.0,20000000.0,0.0
Angola,AGO,2019,32353592.0,161408925696.0,50000000.0,186.473,0.0,15820000000.0,15820000000.0,4240000000.0,1640000000.0,11510000000.0,11580000000.0,0.0,2600000000.0,50000000.0,0.0,488.972,11580000000.0,20000000.0,0.0
Angola,AGO,2020,33428490.0,152308695040.0,50000000.0,171.327,0.0,16809999999.999998,16809999999.999998,4099999999.9999995,1650000000.0,12640000000.0,12710000000.0,0.0,2450000000.0,50000000.0,0.0,502.864,12710000000.0,20000000.0,0.0
Angola,AGO,2021,34503776.0,153971900416.0,50000000.0,172.7,0.0,16850000000.000002,16850000000.000002,4139999999.9999995,1660000000.0,12640000000.0,12710000000.0,0.0,2480000000.0,50000000.0,0.0,488.352,12710000000.0,20000000.0,0.0
Angola,AGO,2022,35588996.0,158346248192.0,50000000.0,174.734,0.0,16940000000.000002,16940000000.000002,4230000000.0000005,1670000000.0,12640000000.0,12710000000.0,0.0,2560000000.0,50000000.0,0.0,475.99,12710000000.0,20000000.0,0.0
Antigua and Barbuda,ATG,2017,91133.0,,0.0,628.571,0.0,350000000.0,350000000.0,340000000.0,0.0,0.0,10000000.0,0.0,340000000.0,0.0,0.0,3840.541,10000000.0,10000000.0,0.0
Antigua and Barbuda,ATG,2018,91644.0,,0.0,638.889,0.0,360000000.0,360000000.0,350000000.0,0.0,0.0,10000000.0,0.0,350000000.0,0.0,0.0,3928.244,10000000.0,10000000.0,0.0
Antigua and Barbuda,ATG,2019,92127.0,,0.0,638.889,0.0,360000000.0,360000000.0,350000000.0,0.0,0.0,10000000.0,0.0,350000000.0,0.0,0.0,3907.649,10000000.0,10000000.0,0.0
Antigua and Barbuda,ATG,2020,92672.0,,0.0,628.571,0.0,350000000.0,350000000.0,330000000.0,0.0,0.0,20000000.0,0.0,330000000.0,0.0,0.0,3776.761,20000000.0,20000000.0,0.0
Antigua and Barbuda,ATG,2021,93229.0,,0.0,628.571,0.0,350000000.0,350000000.0,330000000.0,0.0,0.0,20000000.0,0.0,330000000.0,0.0,0.0,3754.197,20000000.0,20000000.0,0.0
Antigua and Barbuda,ATG,2022,93772.0,,0.0,611.111,0.0,360000000.0,360000000.0,340000000.0,0.0,0.0,20000000.0,0.0,340000000.0,0.0,0.0,3839.099,20000000.0,20000000.0,0.0
Argentina,ARG,2017,44054616.0,856142118912.0,1460000000.0,425.383,2009999999.9999998,156070000000.0,145610000000.0,105840000000.0,91210000000.0,31590000000.0,39770000000.0,6090000000.0,12620000000.0,1462000000.0,,3305.216,33680000000.0,20000000.0,610000000.0
Argentina,ARG,2018,44413592.0,833736998912.0,1420000000.0,414.294,2029999999.9999998,156340000000.0,146780000000.0,104690000000.0,95350000000.0,32280000000.0,42090000000.0,6870000000.0,7310000000.0,1417000000.0,,3304.844,35220000000.0,110000000.0,1410000000.0
Argentina,ARG,2019,44745516.0,817053892608.0,1480000000.0,397.621,1170000000.0,150220000000.0,139530000000.0,96310000000.0,91310000000.0,27500000000.0,43220000000.0,8439999999.999999,3830000000.0,1476000000.0,,3118.301,34780000000.0,800000000.0,5000000000.0
Argentina,ARG,2020,45036032.0,735814221824.0,2200000000.0,394.704,1640000000.0,149350000000.0,144640000000.0,98010000000.0,88720000000.0,23670000000.0,46630000000.0,10010000000.0,7650000000.0,2200000000.0,,3211.651,36620000000.0,1340000000.0,9410000000.0
